release_date,title,main_director,soup
2012-11-13,The Twilight Saga: Breaking Dawn - Part 2,billcondon,vampir romanc villai superstrength imprint crossbre bloodsuck grudg vampirevsvampir chiefofpolic dhampir forkswashington wolfpack misinform seeingthefutur fangvamp kristenstewart robertpattinson taylorlautner billcondon adventure fantasy drama romance
2014-05-15,X-Men: Days of Future Past,bryansinger,1970 mutant timetravel marvelcom basedoncom superhuman storm beast aftercreditssting changingthepastorfutur hughjackman jamesmcavoy michaelfassbender bryansinger action adventure fantasy sciencefiction
2016-02-11,Zootopia,byronhoward,fox prejudic conspiraci urban femaleprotagonist anthropomorph rabbit rookiecop missingperson injustic stereotyp discrimin 3d anim ginnifergoodwin jasonbateman shakira byronhoward animation adventure family comedy
2016-02-11,Zootopia,byronhoward,fox prejudic conspiraci urban femaleprotagonist anthropomorph rabbit rookiecop missingperson injustic stereotyp discrimin 3d anim ginnifergoodwin jasonbateman shakira byronhoward animation adventure family comedy
2011-03-15,The Twilight Saga: Breaking Dawn - Part 1,billcondon,basedonnovel vampir werewolf duringcreditssting fangvamp kristenstewart robertpattinson taylorlautner billcondon adventure fantasy romance
2017-11-15,Justice League,zacksnyder,dccomic basedoncom superpow dcextendedunivers benaffleck henrycavill galgadot zacksnyder action adventure fantasy sciencefiction
2016-08-25,Don't Breathe,fedealvarez,kidnap thief teenag violenc heldcapt blind breakin blindman trappedinahous janelevy dylanminnette danielzovatto fedealvarez crime horror thriller
1985-07-03,Back to the Future,robertzemeckis,clocktow carrac terrorist delorean lightn guitar plutonium sportscar inventor journeyinthepast timetravel raceagainsttim partner misfit madscientist fishoutofwat teenagelov destini hiddenident oddcoupl escapad disord chasesandrac loveandrom teenagelif misfitpartn changingthepastorfutur gettinghom inventionsanddiscoveri michaelj.fox christopherlloyd leathompson robertzemeckis adventure comedy sciencefiction family
2015-09-30,The Martian,ridleyscott,basedonnovel mar nasa isol botanist strand spaceship space engin surviv astronaut scienc deepspaceexplor duringcreditssting battleforsurviv mattdamon jessicachastain kristenwiig ridleyscott drama adventure sciencefiction
2003-05-30,Finding Nemo,andrewstanton,fathersonrelationship harbor underwat fishtank greatbarrierreef missingchild aftercreditssting duringcreditssting shorttermmemoryloss clownfish fathersonreunion protectivefath albertbrooks ellendegeneres alexandergould andrewstanton animation family
2017-04-06,Colossal,nachovigalondo,bar monster mentalbreakdown seoul alcohol psychot catastroph childhoodfriend annehathaway jasonsudeikis timblakenelson nachovigalondo action comedy drama fantasy sciencefiction
2013-11-15,The Hunger Games: Catching Fire,francislawrence,competit basedonnovel mentor secret factori televis propaganda futur dystopia allianc game presid upris sequel murder surviv conspiraci rebellion blood femaleprotagonist tournament explos danger imax winner basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth francislawrence adventure action sciencefiction
2015-07-10,Self/less,tarsemsingh,lie immort terminalil laboratori cancer doctor body-swap death rich falsememori soultransfer richman mindtransf hostbodi bodysnatch etern ryanreynolds benkingsley nataliemartinez tarsemsingh sciencefiction mystery thriller
2003-10-10,Kill Bill: Vol. 1,quentintarantino,japan coma martialart kungfu underworld yakuza sword bride reveng gore femaleyakuza blood wed samuraisword partanim umathurman lucyliu vivicaa.fox quentintarantino action crime
2013-05-23,The Hangover Part III,toddphillips,sequel hangov bradleycooper edhelms zachgalifianakis toddphillips comedy
2011-07-07,Harry Potter and the Deathly Hallows: Part 2,davidyates,selfsacrific magic frog sorcer school wizard 3d danielradcliffe rupertgrint emmawatson davidyates family fantasy adventure
2015-10-26,Spectre,sammendes,spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux sammendes action adventure crime
2017-04-28,Sleight,j.d.dillard,mother kidnap drugdeal magic sister losangel deadmoth death young street jacoblatimore seychellegabriel sasheerzamata j.d.dillard drama thriller action sciencefiction
2014-12-16,Black Mirror: White Christmas,carltibbetts,artificialintellig confess technolog murder justic tvepisod jonhamm rafespall oonachaplin carltibbetts drama horror mystery sciencefiction thriller tvmovie
2005-11-05,Harry Potter and the Goblet of Fire,mikenewell,magic dyinganddeath broom sorcerer'sapprentic schoolofwitchcraft chosenon blackmag boardingschool vision tournament teenag wizard teenagehero basedonyoungadultnovel danielradcliffe rupertgrint emmawatson mikenewell adventure fantasy family
2013-06-25,Despicable Me 2,pierrecoffin,secretag bakeri fallinginlov fatherdaughterrelationship duringcreditssting firstdat minion 3d stevecarell kristenwiig benjaminbratt pierrecoffin animation comedy family
2014-09-10,No Good Deed,sammiller,sadist hostag sociopath serialkil blood escapedconvict murder homeinvas killer deadli escapedkil idriselba tarajip.henson lesliebibb sammiller crime thriller
2017-06-16,The Book of Henry,colintrevorrow,suicid singlemoth boygeniu mothersonrelationship seizur naomiwatts jaedenlieberher jacobtremblay colintrevorrow thriller drama crime
2017-02-01,Rings,f.javiergutiérrez,hallucin investig drama sequel suspens curs vh death maggot supernaturalhorror sevenday videotap matildaannaingridlutz alexroe johnnygalecki f.javiergutiérrez horror
1991-08-30,Child's Play 3,jackbender,recruit puppet killerdol serialkil militaryacademi killertoy toycomestolif wargam justinwhalin perreyreeves jeremysylvers jackbender thriller horror action
2016-10-07,A Monster Calls,juanantoniobayona,basedonnovel monster dream grandmothergrandsonrelationship artist nightmar tree boy truth terminalil bulli bulli diseas deathofmoth grandmoth imagin child animatedsequ lewismacdougall sigourneyweaver felicityjones juanantoniobayona drama fantasy
2017-07-07,A Ghost Story,davidlowery,hous parti children longtak construct ghost piano caseyaffleck rooneymara willoldham davidlowery drama fantasy romance
2017-06-15,Rough Night,luciaaniello,miami darkcomedi malestripp bacheloretteparti scarlettjohansson jillianbell katemckinnon luciaaniello drama comedy
1997-05-07,The Fifth Element,lucbesson,clone taxi cyborg egypt futur stowaway spacetravel raceagainsttim armsdeal love alien priest endoftheworld goodvsevil shootout policechas cabdriv newyorkc spaceopera militari operasing resorthotel ancientastronaut archeologist ancientevil cruiselin brucewillis garyoldman ianholm lucbesson adventure fantasy action thriller sciencefiction
2013-11-27,Frozen,chrisbuck,queen music princess betray snowman anim reindeer curs snow troll mountainclimb aftercreditssting womandirector 3d kristenbell idinamenzel jonathangroff chrisbuck animation adventure family
2017-06-29,Overdrive,antonionegret, scotteastwood freddiethorp anadearmas antonionegret thriller action
2015-06-09,Inside Out,petedocter,dream cartoon imaginaryfriend anim famili move kid unicorn duringcreditssting 3d emot amypoehler phyllissmith richardkind petedocter drama comedy animation family
1999-04-16,The Mummy,stephensommers,librari secretpassag cairo egypt pastor pyramid sandstorm solareclips mummi foreignlegion nile secretsocieti treasurehunt remak ancientegypt oppositesattract 1920 brendanfraser rachelweisz johnhannah stephensommers adventure action fantasy
2010-06-24,Grown Ups,dennisdugan,overweight swing foot convert arrow adamsandler salmahayek mariabello dennisdugan comedy
2000-09-10,A Dog's Will,guelarraes,brazilian comedi matheusnachtergaele seltonmello limaduarte guelarraes adventure comedy drama
2009-06-05,The Hangover,toddphillips,underwear tiger stagnight hangov lostweekend bagoverhead chapel hitwithtireiron memoryloss lasvega duringcreditssting elev bradleycooper edhelms zachgalifianakis toddphillips comedy
2013-04-18,Iron Man 3,shaneblack,terrorist waronterror tennesse malibu marvelcom superhero basedoncom tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi robertdowneyjr. gwynethpaltrow doncheadle shaneblack action adventure sciencefiction
1996-05-31,DragonHeart,robcohen,magic kingdom despot immort villag forest armi horror partner reveng knight battl mediev dragonheart dennisquaid davidthewlis petepostlethwaite robcohen fantasy
2004-10-01,Saw,jameswan,shotgun basedonshortfilm sadist pistol chain bludgeon gameofdeath caryelwes dannyglover monicapotter jameswan horror mystery crime
2015-12-25,The Revenant,alejandrogonzáleziñárritu,fathersonrelationship rape basedonnovel mountain winter grizzlybear wilder frontier reveng murder nativeamerican surviv bear snow violenc animaldeath bearattack deathofson basedontrueev furtrapp leonardodicaprio tomhardy willpoulter alejandrogonzáleziñárritu western drama adventure thriller
1991-11-13,Beauty and the Beast,garytrousdale,princ book castl rose music princess anim basedontvseri beast bell paigeo'hara robbybenson richardwhite garytrousdale romance family animation fantasy music
2017-06-23,The Big Sick,michaelshowalter,chicago coma immigr arrangedmarriag comedian pakistani basedontruestori familyrelationship culturaldiffer cheatinghusband hospit newyorkc famili stand-upcomedian ill kumailnanjiani zoekazan hollyhunter michaelshowalter comedy drama romance
1979-05-25,Alien,ridleyscott,android countdown spacemarin spacesuit behead dystopia biolog cowardic spaceship space alien femaleprotagonist outerspac parasit h.r.giger xenomorph tomskerritt sigourneyweaver veronicacartwright ridleyscott horror action thriller sciencefiction
2010-10-17,Harry Potter and the Deathly Hallows: Part 1,davidyates,corrupt isol radio magic teleport braveri tension attack werewolf danielradcliffe emmawatson rupertgrint davidyates adventure fantasy family
2012-11-26,The Hobbit: An Unexpected Journey,peterjackson,riddl elv dwarv orc middle-earth(tolkien) hobbit mountain wizard journey ring goblin courag giant tunnel undergroundlak buriedtreasur climbingatre invis ancient gnome ianmckellen martinfreeman richardarmitage peterjackson adventure fantasy action
2017-03-23,Power Rangers,deanisraelite,spaceship basedontvseri tokusatsu superheroteam reboot ethnicdivers dacremontgomery naomiscott rjcyler deanisraelite action adventure sciencefiction
2014-10-02,Annabelle,johnr.leonetti,prequel evildol killerdol spinoff doll demonicpossess killertoy toycomestolif annabellewallis wardhorton tonyamendola johnr.leonetti horror
2013-05-31,The Purge,jamesdemonaco,dystopia barricad homeinvas constitutionalconvent legalizedmurd socialallegori lenaheadey ethanhawke maxburkholder jamesdemonaco sciencefiction horror thriller
2000-05-01,Gladiator,ridleyscott,rome gladiat arena senat romanempir emperor slaveri battlefield blood ancientworld fatherdaughterrelationship combat mothersonrelationship dreamsequ chariot philosoph barbarianhord 2ndcenturi successor russellcrowe joaquinphoenix connienielsen ridleyscott action drama adventure
2006-11-14,Casino Royale,martincampbell,itali poker casino terrorist banker money freerun tortur britishsecretservic montenegro danielcraig evagreen madsmikkelsen martincampbell adventure action thriller
1967-10-17,The Jungle Book,wolfgangreitherman,indianlead narrat humananimalrelationship music feralchild jungl talkinganim anthropomorph orphan disney animallead waltdisney brucereitherman philharris sebastiancabot wolfgangreitherman family animation adventure
2017-02-16,Fist Fight,richiekeen,highschool highschoolteach charlieday icecube tracymorgan richiekeen comedy
2016-07-20,Train to Busan,yeonsang-ho,surviv korea zombi train southkorea busan gongyoo madong-seok jungyu-mi yeonsang-ho action horror thriller
1991-07-01,Terminator 2: Judgment Day,jamescameron,cyborg shotgun post-apocalypt dystopia moralambigu mentalinstitut violenc fictionalwar morph nuclearweapon shapeshift savior catchphras arnoldschwarzenegger lindahamilton robertpatrick jamescameron action thriller sciencefiction
1968-04-10,2001: A Space Odyssey,stanleykubrick,moon jupit artificialintellig manvsmachin technolog supercomput humanb spacetravel spacemiss moonbas astronaut evolut monolith spacest keirdullea garylockwood williamsylvester stanleykubrick sciencefiction mystery adventure
2014-08-07,Teenage Mutant Ninja Turtles,jonathanliebesman,martialart terrorist hero mutat van turtl vigilant superhero basedoncom ninja newyorkc sewer reboot scienceexperi 3d meganfox willarnett williamfichtner jonathanliebesman sciencefiction action adventure fantasy comedy
2015-05-19,Tomorrowland,bradbird,inventor apocalyps destini imax dreamer futuristiccar futuristicc brittrobertson georgeclooney raffeycassidy bradbird adventure family mystery sciencefiction
2010-07-08,Despicable Me,pierrecoffin,adoptivefath orphanag life'sdream rivalri steal ballet littlegirl orphan fatherdaughterrelationship tomboy mothersonrelationship intellig kid evildoctor duringcreditssting minion supervillain 3d despic cattivissimo stevecarell jasonsegel russellbrand pierrecoffin animation family
2004-11-05,The Incredibles,bradbird,secretident secret hero island wretch supernaturalpow weapon lawsuit superhero craigt.nelson hollyhunter samuell.jackson bradbird action adventure animation family
